Thu Aug 05 15:31:07 UTC 2010,0-8115575,track,32.17035,-110.12242,""
Thu Aug 05 15:22:19 UTC 2010,0-8115575,track,32.05513,-109.82915,""
Thu Aug 05 15:11:11 UTC 2010,0-8115575,track,32.16187,-109.47659,""
Thu Aug 05 15:02:32 UTC 2010,0-8115575,track,32.25895,-109.20447,""
Thu Aug 05 14:51:09 UTC 2010,0-8115575,track,32.26562,-108.8071,""
Thu Aug 05 14:41:09 UTC 2010,0-8115575,track,32.27165,-108.45338,""
Thu Aug 05 14:31:10 UTC 2010,0-8115575,track,32.26402,-108.09689,""
Thu Aug 05 14:21:58 UTC 2010,0-8115575,track,32.27188,-107.81184,""
Thu Aug 05 14:11:11 UTC 2010,0-8115575,track,32.26378,-107.72357,""
Thu Aug 05 14:02:09 UTC 2010,0-8115575,track,32.26464,-107.72453,""
Wed Aug 04 20:54:45 UTC 2010,0-8115575,track,32.26912,-107.65079,""
Wed Aug 04 20:44:43 UTC 2010,0-8115575,track,32.2326,-107.31694,""
Wed Aug 04 20:35:07 UTC 2010,0-8115575,track,32.16644,-107.00793,""
Wed Aug 04 20:24:47 UTC 2010,0-8115575,track,32.08577,-106.68666,""
Wed Aug 04 20:14:47 UTC 2010,0-8115575,track,32.03531,-106.37358,""
Wed Aug 04 20:04:45 UTC 2010,0-8115575,track,31.96893,-106.06377,""
Wed Aug 04 19:54:51 UTC 2010,0-8115575,track,31.92816,-105.73172,""
Wed Aug 04 19:44:51 UTC 2010,0-8115575,track,31.84508,-105.3981,""
Wed Aug 04 19:34:46 UTC 2010,0-8115575,track,31.73766,-105.08,""
Wed Aug 04 19:24:50 UTC 2010,0-8115575,track,31.80486,-104.73131,""
Wed Aug 04 19:14:47 UTC 2010,0-8115575,track,31.8525,-104.37766,""
Wed Aug 04 19:04:51 UTC 2010,0-8115575,track,31.9411,-104.05995,""
Wed Aug 04 18:54:49 UTC 2010,0-8115575,track,32.04144,-103.72641,""
Wed Aug 04 18:44:49 UTC 2010,0-8115575,track,32.14285,-103.39087,""
Wed Aug 04 18:34:50 UTC 2010,0-8115575,track,32.1905,-103.03494,""
Wed Aug 04 18:25:41 UTC 2010,0-8115575,track,32.25714,-102.73541,""
Wed Aug 04 18:14:57 UTC 2010,0-8115575,track,32.33984,-102.53455,""
Wed Aug 04 18:05:33 UTC 2010,0-8115575,track,32.32355,-102.53159,""
Wed Aug 04 16:46:15 UTC 2010,0-8115575,track,32.32349,-102.53226,""
Wed Aug 04 16:36:16 UTC 2010,0-8115575,track,32.32343,-102.53226,""
Wed Aug 04 16:26:16 UTC 2010,0-8115575,track,32.32339,-102.53223,""
Wed Aug 04 16:17:05 UTC 2010,0-8115575,track,32.32362,-102.5321,""
Wed Aug 04 16:06:17 UTC 2010,0-8115575,track,32.34244,-102.38766,""
Wed Aug 04 15:56:21 UTC 2010,0-8115575,track,32.36024,-102.01965,""
Wed Aug 04 15:46:21 UTC 2010,0-8115575,track,32.38788,-101.66062,""
Wed Aug 04 15:36:31 UTC 2010,0-8115575,track,32.41984,-101.31421,""
Wed Aug 04 15:26:31 UTC 2010,0-8115575,track,32.44605,-100.96387,""
Wed Aug 04 15:16:23 UTC 2010,0-8115575,track,32.47192,-100.5936,""
Wed Aug 04 15:08:47 UTC 2010,0-8115575,track,32.48834,-100.32364,""
Wed Aug 04 14:56:24 UTC 2010,0-8115575,track,32.59082,-99.8873,""
Wed Aug 04 14:46:24 UTC 2010,0-8115575,track,32.66934,-99.54385,""
Wed Aug 04 14:36:23 UTC 2010,0-8115575,track,32.75241,-99.20782,""
Wed Aug 04 14:27:20 UTC 2010,0-8115575,track,32.90129,-98.95114,""
Wed Aug 04 14:16:26 UTC 2010,0-8115575,track,33.074,-98.65143,""
Wed Aug 04 14:06:27 UTC 2010,0-8115575,track,33.20596,-98.34195,""
Wed Aug 04 13:56:27 UTC 2010,0-8115575,track,33.39184,-98.06439,""
Wed Aug 04 13:46:28 UTC 2010,0-8115575,track,33.53337,-97.77026,""
Wed Aug 04 13:36:25 UTC 2010,0-8115575,track,33.55382,-97.42233,""
Wed Aug 04 13:26:29 UTC 2010,0-8115575,track,33.5878,-97.10452,""
Wed Aug 04 13:16:27 UTC 2010,0-8115575,track,33.6093,-96.79523,""
Wed Aug 04 13:06:28 UTC 2010,0-8115575,track,33.62958,-96.58701,""
Wed Aug 04 12:57:10 UTC 2010,0-8115575,track,33.62758,-96.58591,""
Tue Aug 03 23:34:22 UTC 2010,0-8115575,track,33.62737,-96.58563,""
Tue Aug 03 23:25:11 UTC 2010,0-8115575,track,33.62736,-96.58563,""
Tue Aug 03 23:14:23 UTC 2010,0-8115575,track,33.59426,-96.50146,""
Tue Aug 03 23:04:21 UTC 2010,0-8115575,track,33.57847,-96.1608,""
Tue Aug 03 22:54:22 UTC 2010,0-8115575,track,33.5812,-95.8429,""
Tue Aug 03 22:44:25 UTC 2010,0-8115575,track,33.547,-95.50781,""
Tue Aug 03 22:34:23 UTC 2010,0-8115575,track,33.54868,-95.18088,""
Tue Aug 03 22:24:23 UTC 2010,0-8115575,track,33.52896,-94.84952,""
Tue Aug 03 22:14:24 UTC 2010,0-8115575,track,33.52937,-94.53177,""
Tue Aug 03 22:04:24 UTC 2010,0-8115575,track,33.54476,-94.20847,""
Tue Aug 03 21:54:25 UTC 2010,0-8115575,track,33.53018,-93.87445,""
Tue Aug 03 21:44:25 UTC 2010,0-8115575,track,33.53014,-93.56274,""
Tue Aug 03 21:34:26 UTC 2010,0-8115575,track,33.51039,-93.23297,""
Tue Aug 03 21:24:26 UTC 2010,0-8115575,track,33.50547,-92.90448,""
Tue Aug 03 21:14:27 UTC 2010,0-8115575,track,33.53034,-92.58624,""
Tue Aug 03 21:04:28 UTC 2010,0-8115575,track,33.55766,-92.24225,""
Tue Aug 03 20:54:28 UTC 2010,0-8115575,track,33.56588,-91.93018,""
Tue Aug 03 20:44:29 UTC 2010,0-8115575,track,33.54913,-91.57773,""
Tue Aug 03 20:34:29 UTC 2010,0-8115575,track,33.53483,-91.23001,""
Tue Aug 03 20:24:30 UTC 2010,0-8115575,track,33.54415,-90.89194,""
Tue Aug 03 20:14:30 UTC 2010,0-8115575,track,33.52872,-90.56534,""
Tue Aug 03 20:05:10 UTC 2010,0-8115575,track,33.50394,-90.28604,""
Tue Aug 03 19:54:31 UTC 2010,0-8115575,track,33.49903,-90.0867,""
Tue Aug 03 19:44:32 UTC 2010,0-8115575,track,33.4922,-90.08575,""
Tue Aug 03 19:34:35 UTC 2010,0-8115575,track,33.49225,-90.08578,""
Tue Aug 03 19:24:36 UTC 2010,0-8115575,track,33.49227,-90.08582,""
Tue Aug 03 19:14:34 UTC 2010,0-8115575,track,33.49225,-90.08585,""
Tue Aug 03 19:04:34 UTC 2010,0-8115575,track,33.49227,-90.08582,""
Tue Aug 03 18:55:41 UTC 2010,0-8115575,track,33.49226,-90.08582,""
Tue Aug 03 18:45:41 UTC 2010,0-8115575,track,33.48724,-89.96549,""
Tue Aug 03 18:34:36 UTC 2010,0-8115575,track,33.48107,-89.61819,""
Tue Aug 03 18:24:36 UTC 2010,0-8115575,track,33.48347,-89.28928,""
Tue Aug 03 18:14:46 UTC 2010,0-8115575,track,33.51665,-88.96771,""
Tue Aug 03 18:06:28 UTC 2010,0-8115575,track,33.53169,-88.69925,""
Tue Aug 03 17:55:17 UTC 2010,0-8115575,track,33.47455,-88.33585,""
Tue Aug 03 17:44:59 UTC 2010,0-8115575,track,33.55025,-88.02557,""
Tue Aug 03 17:34:42 UTC 2010,0-8115575,track,33.6088,-87.6976,""
Tue Aug 03 17:24:48 UTC 2010,0-8115575,track,33.62971,-87.37604,""
Tue Aug 03 17:14:43 UTC 2010,0-8115575,track,33.67386,-87.04608,""
Tue Aug 03 17:04:44 UTC 2010,0-8115575,track,33.79075,-86.75851,""
Tue Aug 03 16:54:41 UTC 2010,0-8115575,track,33.89154,-86.44077,""
Tue Aug 03 16:44:45 UTC 2010,0-8115575,track,33.95463,-86.12692,""
Tue Aug 03 16:34:42 UTC 2010,0-8115575,track,34.04184,-85.8165,""
Tue Aug 03 16:24:43 UTC 2010,0-8115575,track,34.09458,-85.49774,""
Tue Aug 03 16:14:43 UTC 2010,0-8115575,track,34.1467,-85.17563,""
Tue Aug 03 16:04:44 UTC 2010,0-8115575,track,34.13068,-84.85431,""
Tue Aug 03 15:54:50 UTC 2010,0-8115575,track,34.09156,-84.54913,""
Tue Aug 03 15:44:45 UTC 2010,0-8115575,track,34.03913,-84.25165,""
Tue Aug 03 15:35:33 UTC 2010,0-8115575,track,34.0029,-83.99567,""
Tue Aug 03 15:24:49 UTC 2010,0-8115575,track,33.97498,-83.96576,""
Tue Aug 03 15:15:34 UTC 2010,0-8115575,track,33.97551,-83.96478,""

